Date,Open,High,Low,Close,Adj Close,Volume
2017-08-04,23.730495,23.793156,23.435095,23.444046,19.833572,1000723
2017-08-07,23.435095,23.470900,23.273968,23.390337,19.788132,1594030
2017-08-08,23.354530,23.452997,22.996469,23.014374,19.470074,1734676
2017-08-09,22.871147,22.960663,22.674215,22.880100,19.356476,2064676
2017-08-10,22.718971,22.817438,22.530991,22.539942,19.068703,2041775
2017-08-11,22.513086,22.602602,22.101316,22.128172,18.720343,1781149
2017-08-14,22.325106,22.486233,22.235590,22.298250,18.864235,1541413
2017-08-15,22.441475,22.459377,22.128172,22.155025,18.743071,1182257
2017-08-16,22.217688,22.235590,22.002850,22.074463,18.674911,1191752
2017-08-17,21.984947,21.984947,21.376244,21.385195,18.091791,2352560
2017-08-18,21.224068,21.555273,21.170359,21.456806,18.152374,2184991
2017-08-21,21.438904,21.474710,21.322535,21.465759,18.159948,1455953
2017-08-22,21.483662,21.519468,21.394146,21.483662,18.175097,1306369
2017-08-23,21.349388,21.582129,21.331486,21.492613,18.182669,1162037
2017-08-24,21.555273,21.555273,21.385195,21.474710,18.167521,1426461
2017-08-25,21.555273,21.770109,21.501566,21.689547,18.349276,1089870
2017-08-28,21.689547,21.796965,21.465759,21.519468,18.205381,885659
2017-08-29,21.224068,21.331486,21.152454,21.206163,17.940327,1378648
2017-08-30,21.224068,21.367292,21.206163,21.259874,17.985771,916492
2017-08-31,21.322535,21.322535,21.170359,21.197212,17.932760,1471593
2017-09-01,21.268826,21.662691,21.233019,21.438904,18.137228,1045632
2017-09-05,21.268826,21.295679,20.642218,20.678024,17.493530,1609781
2017-09-06,20.749638,20.767540,20.409479,20.445286,17.296637,2394676
2017-09-07,20.445286,20.445286,19.899242,19.935047,16.864969,2607265
2017-09-08,19.899242,20.176739,19.899242,20.015612,16.933130,2650163
2017-09-11,20.257303,20.498995,20.176739,20.346819,17.213327,2164994
2017-09-12,20.463188,20.695927,20.275206,20.615364,17.440519,1262466
2017-09-13,20.615364,20.615364,20.373672,20.516897,17.357218,1389372
2017-09-14,20.534800,20.803347,20.436333,20.651171,17.470810,1900235
2017-09-15,20.525848,20.686975,20.284157,20.525848,17.440386,4089806
2017-09-18,20.588509,20.919716,20.579557,20.919716,17.775043,2046020
2017-09-19,20.964474,21.940189,20.964474,21.743256,18.474796,3651333
2017-09-20,21.743256,21.975996,21.600033,21.823820,18.543243,2569059
2017-09-21,21.841722,21.958094,21.725353,21.904383,18.611696,2726909
2017-09-22,21.850674,22.056559,21.796965,21.967045,18.664940,1884148
2017-09-25,21.922285,22.172930,21.868576,22.083414,18.763813,2011612
2017-09-26,22.181881,22.244541,21.984947,22.181881,18.847479,1892750
2017-09-27,22.396717,22.557844,22.307201,22.387766,19.022415,2462820
2017-09-28,22.378815,22.602602,22.262444,22.477282,19.098480,1784165
2017-09-29,22.405668,22.790585,22.378815,22.602602,19.204962,1941904
2017-10-02,22.593651,22.790585,22.557844,22.763729,19.341864,1025077
2017-10-03,22.772680,22.817438,22.647360,22.808487,19.379894,1166840
2017-10-04,22.754778,22.817438,22.656313,22.754778,19.334259,1193540
2017-10-05,22.826391,22.951712,22.727924,22.754778,19.334259,1278888
2017-10-06,22.799536,22.826391,22.504135,22.611553,19.212564,1397080
2017-10-09,22.638409,22.701069,22.432524,22.486233,19.106083,865774
2017-10-10,22.495184,22.665262,22.495184,22.548893,19.159319,1730878
2017-10-11,22.495184,22.629457,22.405668,22.620504,19.220169,1166282
2017-10-12,22.629457,22.781633,22.566795,22.674215,19.265812,1559399
2017-10-13,22.692118,22.727924,22.539942,22.638409,19.235384,1175442
2017-10-16,22.656313,23.023323,22.656313,23.014374,19.554836,1573587
2017-10-17,23.050179,23.103888,22.853245,22.960663,19.509193,1927269
2017-10-18,23.059130,23.094936,22.889051,23.068083,19.600470,1252636
2017-10-19,22.880100,23.094936,22.638409,23.085985,19.615683,1383898
2017-10-20,23.273968,23.345579,23.050179,23.282919,19.783010,1600621
2017-10-23,23.273968,23.273968,22.826391,22.871147,19.433136,1347480
2017-10-24,22.889051,23.068083,22.835342,23.041227,19.577646,1158238
2017-10-25,23.068083,23.077032,22.441475,22.772680,19.349470,1475726
2017-10-26,22.978565,23.077032,22.853245,22.853245,19.417927,1303577
2017-10-27,22.718971,23.068083,22.387766,23.059130,19.592863,1693343
2017-10-30,22.915907,23.068083,22.557844,22.665262,19.258200,1175107
2017-10-31,22.647360,22.906954,22.539942,22.647360,19.242989,1147402
2017-11-01,22.826391,23.050179,22.530991,22.674215,19.265812,1177788
2017-11-02,22.620504,22.817438,22.387766,22.781633,19.357077,1188177
2017-11-03,22.808487,23.157597,22.674215,23.050179,19.585255,1478072
